tweet_id,tweet_text,fecha_creacion,num_likes,num_retweets,idioma_original,usuario,texto_limpio,idioma_confirmado,longitud_texto,es_retweet,num_hashtags,num_exclamaciones,contiene_ayuda
914337001771536384,**MUST WATCH** Cop retelling aftermath of Puerto Rican government injustice after #HurricaneMaria #PuertoRico https://t.co/ETFJvSKnPc,2017-10-01 03:51:43+00:00,0,0,en,Red4AReason2014,must watch cop retelling aftermath of puerto rican government injustice after hurricanemaria puertorico,en,103,0,2,0,0
914337004107784192,RT @PressSec: Thankful for our great military working 24/7 to save American lives in Puerto Rico and the Virgin Islands https://t.co/dFzCva…,2017-10-01 03:51:43+00:00,0,1359,en,MaloneyGerri,rt thankful for our great military working to save american lives in puerto rico and the virgin islands,en,103,1,0,0,0
914337006678835200,"RT @FiveThirtyEight: Compared to the other natural disasters of the past few weeks, Hurricane Maria has been relatively ignored. https://t.…",2017-10-01 03:51:44+00:00,0,207,en,luvnotes69,rt compared to the other natural disasters of the past few weeks hurricane maria has been relatively ignored,en,108,1,0,0,0
914337006867623936,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,2017-10-01 03:51:44+00:00,0,721,en,smokey0815,rt this year old boy in puerto rico is raising funds for solar lamps to help people affected by hurricane maria,en,111,1,0,0,1
914337010000781312,Night life in #PuertoRico #HurricaneMaria  https://t.co/dlRtuCRaVO @jraedle @GettyImagesNews,2017-10-01 03:51:45+00:00,0,0,en,nsanmartin,night life in puertorico hurricanemaria,en,39,0,2,0,0
914337013100400641,RT @USFleetForces: Your @USNavy is in #PuertoRico and #Dominica assisting with @DeptofDefense support to @FEMA in helping those affected by…,2017-10-01 03:51:46+00:00,0,416,en,scody_,rt your is in puertorico and dominica assisting with support to in helping those affected by,en,92,1,2,0,1
914337024936640512,Tesla Is Helping Puerto Rico Get Power After Hurricane Maria https://t.co/rjgAS2mv9g,2017-10-01 03:51:48+00:00,0,0,en,PhyllisKStein,tesla is helping puerto rico get power after hurricane maria,en,60,0,0,0,1
914337033912328192,"RT @AMLwhere: &gt; @LesterHoltNBC ""has been the only broadcast network anchor to report on the storm from Puerto Rico"" https://t.co/77t3PNvICQ",2017-10-01 03:51:51+00:00,0,43,en,sherfouch,rt gt has been the only broadcast network anchor to report on the storm from puerto rico,en,88,1,0,0,0
914337038568103936,"RT @tedlieu: Dear @POTUS: Before you golf, can you give the frickin order for massive  airlifts of food/water to Puerto Rico? Remember Berl…",2017-10-01 03:51:52+00:00,0,7614,en,ClaraMa15,rt dear before you golf can you give the frickin order for massive airlifts of food water to puerto rico remember berl,en,118,1,0,0,1
914337041151905792,@KeithOlbermann https://t.co/oYctKmR9Eh Puerto Rican Teamsters went on strike from not being paid did not deliver Goods rotting in Port,2017-10-01 03:51:52+00:00,0,0,en,reallife08642,puerto rican teamsters went on strike from not being paid did not deliver goods rotting in port,en,95,0,0,0,0
